编号,租金,租赁方式,地铁距离,房屋类型,房屋面积,朝向,楼层,车位,用电,采暖,电梯,用水,燃气,区域
BJ2883227630046281728,30000,整租,175m,1房间0卫,86,南,低楼层,租用车位,商电,集中供暖,无,商水,有,海淀
BJ2904332741866954752,55000,整租,508m,3室2厅2卫,183.55,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ2803415084380979200,100000,整租,473m,7室9厅5卫,376,南/北,低楼层,免费使用,民电,自采暖,无,民水,有,亦庄开发区
BJ2794283489082744832,23000,整租,832m,1室1厅1卫,88,东南,低楼层,租用车位,商电,集中供暖,有,民水,无,朝阳
BJ2903070656449224704,20000,整租,574m,3室1厅1卫,78,东南,中楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ2850763256082210816,25000,整租,912m,2室1厅2卫,98.71,东/西,低楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ2873925494498131968,51000,整租,,1室3厅1卫,202.46,南/西南,低楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ1570987832191746048,6900,整租,676m,1室1厅1卫,28,北,高楼层,租用车位,民电,集中供暖,有,民水,无,西城
BJ2802068703024250880,22000,整租,,3室1厅1卫,90,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,西城
BJ1573546158448443392,6500,整租,484m,1室1厅1卫,27.17,东,高楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ1565998434295480320,12000,整租,330m,1房间1卫,52,北,中楼层,租用车位,商电,集中供暖,有,商水,有,朝阳
BJ2904313893738790912,8000,整租,1095m,2房间1卫,35,北,中楼层,租用车位,民电,集中供暖,有,民水,无,朝阳
BJ2770155016932302848,12000,整租,,2室1厅1卫,52.6,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,西城
BJ1569979533245808640,12000,整租,,4室1厅1卫,53.6,东/西,低楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ2902757747638943744,26000,整租,859m,3室2厅2卫,118,西北,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2860840749795385344,8500,整租,390m,1室0厅1卫,39,北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1572549668477337600,17000,整租,515m,1室0厅1卫,78,北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2901343611294072832,8600,整租,403m,1室2厅2卫,39.98,东,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2843304809258827776,33000,整租,888m,3室2厅2卫,153.57,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2904230802252906496,13000,整租,205m,3室1厅1卫,61,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ1574255770466254848,38000,整租,519m,4室1厅2卫,180.43,南/北,中楼层,免费使用,民电,集中供暖,有,民水,有,海淀
BJ1572143736769478656,42500,整租,,6房间0卫,202,西北,中楼层,租用车位,商电,集中供暖,有,商水,无,朝阳
BJ2873356310416728064,43000,整租,980m,4室0厅0卫,205,南/北,中楼层,租用车位,民电,集中供暖,有,民水,无,海淀
BJ1567405222920192000,20000,整租,496m,1室1厅0卫,95.49,北,高楼层,租用车位,民电,集中供暖,有,民水,无,朝阳
BJ1573277247513559040,42000,整租,,4房间0卫,200.7,西北,低楼层,租用车位,商电,集中供暖,有,商水,无,朝阳
BJ2896469044242948096,50000,整租,453m,3室2厅2卫,239,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1569292502232465408,32000,整租,,2室1厅2卫,153,东,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2892817582334164992,12000,整租,,2房间1卫,57.64,西,低楼层,租用车位,商电,集中供暖,有,商水,有,昌平
BJ2879055834417987584,16000,整租,962m,2室1厅2卫,77,东,高楼层,租用车位,商电,集中供暖,有,商水,无,朝阳
BJ2862847293622075392,82000,整租,144m,5室2厅3卫,398.5,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1574635233414742016,25000,整租,220m,2房间1卫,122.16,东,低楼层,租用车位,商电,集中供暖,有,商水,有,朝阳
BJ2861455643762761728,22000,整租,464m,1室1厅1卫,108,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2888959003386724352,22000,整租,859m,3室1厅2卫,108,西北,低楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2848399063626555392,30000,整租,912m,4室1厅2卫,148,南/西,中楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ1574638449862901760,25000,整租,220m,2房间1卫,123.76,东,中楼层,租用车位,商电,集中供暖,有,商水,有,朝阳
BJ2901536356406927360,28000,整租,912m,3室1厅2卫,139,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ2792723968866926592,6000,整租,734m,3房间1卫,30,南,高楼层,租用车位,民电,集中供暖,有,民水,无,丰台
BJ2871855612352790528,16500,整租,594m,3室1厅1卫,82.6,东南,低楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ1572222743120707584,11000,整租,866m,1房间1卫,55.52,北,中楼层,租用车位,民电,集中供暖,有,商水,有,朝阳
BJ2816479443726368768,98000,整租,,5室2厅6卫,496,南/北,低楼层,租用车位,民电,自采暖,无,民水,有,朝阳
BJ2894924045487448064,14600,整租,202m,1室1厅1卫,74,东,中楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ2856396521061498880,13000,整租,972m,2室1厅1卫,66,西南,低楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ2855805575973830656,33000,整租,373m,3房间2卫,169,西/北,低楼层,租用车位,商电,集中供暖,有,商水,有,朝阳
BJ1574618766346551296,7600,整租,740m,1室0厅1卫,39.4,西,中楼层,租用车位,民电,集中供暖,有,民水,无,海淀
BJ1574978938373931008,7600,整租,125m,1室1厅1卫,39.5,南,高楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2899316648529887232,10000,整租,484m,2室1厅1卫,52,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ2902887557706817536,5000,整租,,2房间2卫,26.05,北,中楼层,免费使用,商电,集中供暖,有,商水,无,朝阳
BJ2865923948171247616,24000,整租,777m,3室1厅2卫,125.44,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2524503374511489024,22000,整租,808m,3室2厅2卫,115,南/北,高楼层,租用车位,民电,自采暖,有,民水,有,海淀
BJ2875496056832409600,29000,整租,669m,3室1厅2卫,151.64,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
